S-Cat6880X-01#
S-Cat6880X-01#
S-Cat6880X-01#term len 0
S-Cat6880X-01#
S-Cat6880X-01#
S-Cat6880X-01#
S-Cat6880X-01#show logg
S-Cat6880X-01#show logging 
Load for five secs: 5%/1%; one minute: 6%; five minutes: 6%
Time source is NTP, 21:43:54.916 JST Sun Jan 10 2016

Syslog logging: enabled (0 messages dropped, 103 messages rate-limited, 0 flushes, 0 overruns, xml disabled, filtering disabled)

No Active Message Discriminator.



No Inactive Message Discriminator.


    Console logging: level debugging, 2474 messages logged, xml disabled,
                     filtering disabled
    Monitor logging: level debugging, 1627 messages logged, xml disabled,
                     filtering disabled
    Buffer logging:  level debugging, 2377 messages logged, xml disabled,
Sep  5 22:57:31.068: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet1/1/9, changed state to up
Sep  5 22:57:33.888: %EC-SW1-5-BUNDLE: Interface TenGigabitEthernet1/1/9 joined port-channel Port-channel109
Sep  5 22:57:33.888: %SPANTREE-SW1-6-PORT_STATE: Port Po109 instance 102 moving from disabled to blocking
Sep  5 22:57:33.892: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet1/1/9, changed state to up
Sep  5 22:57:33.912: %LINK-SW1-3-UPDOWN: Interface Port-channel109, changed state to up
Sep  5 22:57:33.916: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface Port-channel109, changed state to up
Sep  5 22:57:33.885: %EC-SW2_STBY-5-BUNDLE: Interface TenGigabitEthernet1/1/9 joined port-channel Port-channel109
Sep  5 22:57:34.888: %SPANTREE-SW1-6-PORT_STATE: Port Po109 instance 102 moving from blocking to forwarding
Sep  5 22:57:34.908: %LINK-SW1-3-UPDOWN: Interface Vlan102, changed state to up
Sep  5 22:57:34.912: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface Vlan102, changed state to up
Sep  5 22:57:44.865: %OSPF-SW1-5-ADJCHG: Process 1, Nbr 1.1.1.3 on Vlan102 from LOADING to FULL, Loading Done
Sep  5 22:58:28.828: %EC-SW1-5-CANNOT_BUNDLE2: Te1/3/9 is not compatible with Te1/1/9 and will be suspended (Operational flow control send of Te1/3/9 is off, Te1/1/9 is on)
Sep  5 22:58:28.840: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet1/3/9, changed state to up
Sep  5 22:58:34.324: %EC-SW1-5-COMPATIBLE: Te1/3/9 is compatible with port-channel members
Sep  5 22:58:36.648: %EC-SW1-5-BUNDLE: Interface TenGigabitEthernet1/3/9 joined port-channel Port-channel109
Sep  5 22:58:36.652: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet1/3/9, changed state to up
Sep  5 22:58:36.669: %EC-SW2_STBY-5-BUNDLE: Interface TenGigabitEthernet1/3/9 joined port-channel Port-channel109
Sep  5 22:58:40.516: %EC-SW1-5-CANNOT_BUNDLE2: Te2/1/9 is not compatible with Te1/1/9 and will be suspended (Operational flow control send of Te2/1/9 is off, Te1/1/9 is on)
Sep  5 22:58:40.524: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet2/1/9, changed state to up
Sep  5 22:58:44.333: %EC-SW1-5-COMPATIBLE: Te2/1/9 is compatible with port-channel members
Sep  5 22:58:46.873: %EC-SW1-5-BUNDLE: Interface TenGigabitEthernet2/1/9 joined port-channel Port-channel109
Sep  5 22:58:46.877: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet2/1/9, changed state to up
Sep  5 22:58:46.949: %EC-SW2_STBY-5-BUNDLE: Interface TenGigabitEthernet2/1/9 joined port-channel Port-channel109
Sep  5 22:58:48.717: %EC-SW1-5-CANNOT_BUNDLE2: Te2/3/9 is not compatible with Te1/1/9 and will be suspended (Operational flow control send of Te2/3/9 is off, Te1/1/9 is on)
Sep  5 22:58:48.725: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet2/3/9, changed state to up
Sep  5 22:58:54.333: %EC-SW1-5-COMPATIBLE: Te2/3/9 is compatible with port-channel members
Sep  5 22:58:56.761: %EC-SW1-5-BUNDLE: Interface TenGigabitEthernet2/3/9 joined port-channel Port-channel109
Sep  5 22:58:56.765: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet2/3/9, changed state to up
Sep  5 22:58:56.785: %EC-SW2_STBY-5-BUNDLE: Interface TenGigabitEthernet2/3/9 joined port-channel Port-channel109
Sep  5 23:17:23.645: %EC-SW1-5-UNBUNDLE: Interface TenGigabitEthernet2/3/9 left the port-channel Port-channel109
Sep  5 23:17:23.649: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet2/3/9, changed state to down
Sep  5 23:17:23.657: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet2/3/9, changed state to down
Sep  5 23:17:23.643: %EC-SW2_STBY-5-UNBUNDLE: Interface TenGigabitEthernet2/3/9 left the port-channel Port-channel109
Sep  5 23:17:25.373: %EC-SW1-5-UNBUNDLE: Interface TenGigabitEthernet2/1/9 left the port-channel Port-channel109
Sep  5 23:17:25.377: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet2/1/9, changed state to down
Sep  5 23:17:25.385: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet2/1/9, changed state to down
Sep  5 23:17:25.371: %EC-SW2_STBY-5-UNBUNDLE: Interface TenGigabitEthernet2/1/9 left the port-channel Port-channel109
Sep  5 23:17:27.734: %EC-SW1-5-UNBUNDLE: Interface TenGigabitEthernet1/3/9 left the port-channel Port-channel109
Sep  5 23:17:27.738: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet1/3/9, changed state to down
Sep  5 23:17:27.746: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet1/3/9, changed state to down
Sep  5 23:17:27.731: %EC-SW2_STBY-5-UNBUNDLE: Interface TenGigabitEthernet1/3/9 left the port-channel Port-channel109
Sep  5 23:17:30.578: %SPANTREE-SW1-6-PORT_STATE: Port Po109 instance 102 moving from forwarding to disabled
Sep  5 23:17:30.582: %EC-SW1-5-UNBUNDLE: Interface TenGigabitEthernet1/1/9 left the port-channel Port-channel109
Sep  5 23:17:30.586: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet1/1/9, changed state to down
Sep  5 23:17:30.586: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface Port-channel109, changed state to down
Sep  5 23:17:30.590: %LINK-SW1-3-UPDOWN: Interface Vlan102, changed state to down
Sep  5 23:17:30.590: %OSPF-SW1-5-ADJCHG: Process 1, Nbr 1.1.1.3 on Vlan102 from FULL to DOWN, Neighbor Down: Interface down or detached
Sep  5 23:17:30.594: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface Vlan102, changed state to down
Sep  5 23:17:30.594: %LINK-SW1-3-UPDOWN: Interface Port-channel109, changed state to down
Sep  5 23:17:30.594: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet1/1/9, changed state to down
Sep  5 23:17:30.575: %EC-SW2_STBY-5-UNBUNDLE: Interface TenGigabitEthernet1/1/9 left the port-channel Port-channel109
Sep  5 23:17:50.531: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet1/1/10, changed state to up
Sep  5 23:17:53.935: %EC-SW1-5-BUNDLE: Interface TenGigabitEthernet1/1/10 joined port-channel Port-channel110
Sep  5 23:17:53.939: %SPANTREE-SW1-6-PORT_STATE: Port Po110 instance 103 moving from disabled to blocking
Sep  5 23:17:53.943: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet1/1/10, changed state to up
Sep  5 23:17:53.963: %LINK-SW1-3-UPDOWN: Interface Port-channel110, changed state to up
Sep  5 23:17:53.967: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface Port-channel110, changed state to up
Sep  5 23:17:53.867: %EC-SW2_STBY-5-BUNDLE: Interface TenGigabitEthernet1/1/10 joined port-channel Port-channel110
Sep  5 23:17:54.943: %SPANTREE-SW1-6-PORT_STATE: Port Po110 instance 103 moving from blocking to forwarding
Sep  5 23:17:54.959: %LINK-SW1-3-UPDOWN: Interface Vlan103, changed state to up
Sep  5 23:17:54.963: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface Vlan103, changed state to up
Sep  5 23:17:55.415: %EC-SW1-5-CANNOT_BUNDLE2: Te1/3/10 is not compatible with Te1/1/10 and will be suspended (Operational flow control send of Te1/3/10 is off, Te1/1/10 is on)
Sep  5 23:17:55.427: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet1/3/10, changed state to up
Sep  5 23:18:01.812: %EC-SW1-5-CANNOT_BUNDLE2: Te2/1/10 is not compatible with Te1/1/10 and will be suspended (Operational flow control send of Te2/1/10 is off, Te1/1/10 is on)
Sep  5 23:18:01.824: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet2/1/10, changed state to up
Sep  5 23:18:04.084: %OSPF-SW1-5-ADJCHG: Process 1, Nbr 1.1.1.3 on Vlan103 from LOADING to FULL, Loading Done
Sep  5 23:18:04.524: %EC-SW1-5-COMPATIBLE: Te1/3/10 is compatible with port-channel members
Sep  5 23:18:07.204: %EC-SW1-5-BUNDLE: Interface TenGigabitEthernet1/3/10 joined port-channel Port-channel110
Sep  5 23:18:07.208: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet1/3/10, changed state to up
Sep  5 23:18:07.151: %EC-SW2_STBY-5-BUNDLE: Interface TenGigabitEthernet1/3/10 joined port-channel Port-channel110
Sep  5 23:18:08.604: %EC-SW1-5-CANNOT_BUNDLE2: Te2/3/10 is not compatible with Te1/1/10 and will be suspended (Operational flow control send of Te2/3/10 is off, Te1/1/10 is on)
Sep  5 23:18:08.616: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet2/3/10, changed state to up
Sep  5 23:18:14.525: %EC-SW1-5-COMPATIBLE: Te2/1/10 is compatible with port-channel members
Sep  5 23:18:14.525: %EC-SW1-5-COMPATIBLE: Te2/3/10 is compatible with port-channel members
Sep  5 23:18:16.421: %EC-SW1-5-BUNDLE: Interface TenGigabitEthernet2/1/10 joined port-channel Port-channel110
Sep  5 23:18:16.425: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet2/1/10, changed state to up
Sep  5 23:18:16.733: %EC-SW1-5-BUNDLE: Interface TenGigabitEthernet2/3/10 joined port-channel Port-channel110
Sep  5 23:18:16.737: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet2/3/10, changed state to up
Sep  5 23:18:16.419: %EC-SW2_STBY-5-BUNDLE: Interface TenGigabitEthernet2/1/10 joined port-channel Port-channel110
Sep  5 23:18:16.683: %EC-SW2_STBY-5-BUNDLE: Interface TenGigabitEthernet2/3/10 joined port-channel Port-channel110
Sep  5 23:26:52.558: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet1/3/11, changed state to up
Sep  5 23:26:53.959: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet2/3/11, changed state to up
Sep  5 23:26:55.959: %EC-SW1-5-BUNDLE: Interface TenGigabitEthernet1/3/11 joined port-channel Port-channel111
Sep  5 23:26:55.963: %SPANTREE-SW1-6-PORT_STATE: Port Po111 instance 104 moving from disabled to blocking
Sep  5 23:26:55.963: %SPANTREE-SW1-6-PORT_STATE: Port Po111 instance 254 moving from disabled to blocking
Sep  5 23:26:55.963: %SPANTREE-SW1-6-PORT_STATE: Port Po111 instance 999 moving from disabled to blocking
Sep  5 23:26:55.967: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet1/3/11, changed state to up
Sep  5 23:26:55.991: %LINK-SW1-3-UPDOWN: Interface Port-channel111, changed state to up
Sep  5 23:26:55.995: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface Port-channel111, changed state to up
Sep  5 23:26:56.207: %SPANTREE-SW1-6-PORT_STATE: Port Po111 instance 254 moving from blocking to forwarding
Sep  5 23:26:56.207: %SPANTREE-SW1-6-PORT_STATE: Port Po111 instance 999 moving from blocking to forwarding
Sep  5 23:26:55.962: %EC-SW2_STBY-5-BUNDLE: Interface TenGigabitEthernet1/3/11 joined port-channel Port-channel111
Sep  5 23:26:56.971: %SPANTREE-SW1-6-PORT_STATE: Port Po111 instance 104 moving from blocking to forwarding
Sep  5 23:26:56.983: %LINK-SW1-3-UPDOWN: Interface Vlan104, changed state to up
Sep  5 23:26:56.987: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface Vlan104, changed state to up
Sep  5 23:26:57.039: %EC-SW1-5-BUNDLE: Interface TenGigabitEthernet2/3/11 joined port-channel Port-channel111
Sep  5 23:26:57.043: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet2/3/11, changed state to up
Sep  5 23:26:57.058: %EC-SW2_STBY-5-BUNDLE: Interface TenGigabitEthernet2/3/11 joined port-channel Port-channel111
Sep  5 23:27:06.343: %OSPF-SW1-5-ADJCHG: Process 1, Nbr 1.1.1.3 on Vlan104 from LOADING to FULL, Loading Done
Sep  5 23:27:27.381: %EC-SW1-5-CANNOT_BUNDLE2: Te1/1/11 is not compatible with Te1/3/11 and will be suspended (Operational flow control send of Te1/1/11 is off, Te1/3/11 is on)
Sep  5 23:27:27.393: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet1/1/11, changed state to up
Sep  5 23:27:34.625: %EC-SW1-5-COMPATIBLE: Te1/1/11 is compatible with port-channel members
Sep  5 23:27:37.413: %EC-SW1-5-BUNDLE: Interface TenGigabitEthernet1/1/11 joined port-channel Port-channel111
Sep  5 23:27:37.417: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet1/1/11, changed state to up
Sep  5 23:27:37.430: %EC-SW2_STBY-5-BUNDLE: Interface TenGigabitEthernet1/1/11 joined port-channel Port-channel111
Sep  5 23:27:52.942: %EC-SW1-5-CANNOT_BUNDLE2: Te2/1/11 is not compatible with Te1/1/11 and will be suspended (Operational flow control send of Te2/1/11 is off, Te1/1/11 is on)
Sep  5 23:27:52.954: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet2/1/11, changed state to up
Sep  5 23:28:03.887: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet2/1/11, changed state to down
Sep  5 23:28:48.122: %EC-SW1-5-CANNOT_BUNDLE2: Te2/1/11 is not compatible with Te1/1/11 and will be suspended (Operational flow control send of Te2/1/11 is off, Te1/1/11 is on)
Sep  5 23:28:48.134: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet2/1/11, changed state to up
Sep  5 23:28:54.634: %EC-SW1-5-COMPATIBLE: Te2/1/11 is compatible with port-channel members
Sep  5 23:28:57.343: %EC-SW1-5-BUNDLE: Interface TenGigabitEthernet2/1/11 joined port-channel Port-channel111
Sep  5 23:28:57.351: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet2/1/11, changed state to up
Sep  5 23:28:57.366: %EC-SW2_STBY-5-BUNDLE: Interface TenGigabitEthernet2/1/11 joined port-channel Port-channel111
Sep  5 23:29:03.111: %EC-SW1-5-UNBUNDLE: Interface TenGigabitEthernet2/3/10 left the port-channel Port-channel110
Sep  5 23:29:03.115: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet2/3/10, changed state to down
Sep  5 23:29:03.123: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet2/3/10, changed state to down
Sep  5 23:29:03.110: %EC-SW2_STBY-5-UNBUNDLE: Interface TenGigabitEthernet2/3/10 left the port-channel Port-channel110
Sep  5 23:29:05.211: %EC-SW1-5-UNBUNDLE: Interface TenGigabitEthernet2/1/10 left the port-channel Port-channel110
Sep  5 23:29:05.215: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet2/1/10, changed state to down
Sep  5 23:29:05.223: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet2/1/10, changed state to down
Sep  5 23:29:05.210: %EC-SW2_STBY-5-UNBUNDLE: Interface TenGigabitEthernet2/1/10 left the port-channel Port-channel110
Sep  5 23:29:09.483: %EC-SW1-5-UNBUNDLE: Interface TenGigabitEthernet1/3/10 left the port-channel Port-channel110
Sep  5 23:29:09.487: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet1/3/10, changed state to down
Sep  5 23:29:09.495: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet1/3/10, changed state to down
Sep  5 23:29:09.482: %EC-SW2_STBY-5-UNBUNDLE: Interface TenGigabitEthernet1/3/10 left the port-channel Port-channel110
Sep  5 23:29:13.184: %SPANTREE-SW1-6-PORT_STATE: Port Po110 instance 103 moving from forwarding to disabled
Sep  5 23:29:13.184: %EC-SW1-5-UNBUNDLE: Interface TenGigabitEthernet1/1/10 left the port-channel Port-channel110
Sep  5 23:29:13.188: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet1/1/10, changed state to down
Sep  5 23:29:13.188: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface Port-channel110, changed state to down
Sep  5 23:29:13.196: %LINK-SW1-3-UPDOWN: Interface Vlan103, changed state to down
Sep  5 23:29:13.196: %LINK-SW1-3-UPDOWN: Interface Port-channel110, changed state to down
Sep  5 23:29:13.196: %OSPF-SW1-5-ADJCHG: Process 1, Nbr 1.1.1.3 on Vlan103 from FULL to DOWN, Neighbor Down: Interface down or detached
Sep  5 23:29:13.196: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet1/1/10, changed state to down
Sep  5 23:29:13.200: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface Vlan103, changed state to down
Sep  5 23:29:13.182: %EC-SW2_STBY-5-UNBUNDLE: Interface TenGigabitEthernet1/1/10 left the port-channel Port-channel110
Sep  6 00:04:02.388: %OSPF-SW1-5-ADJCHG: Process 1, Nbr 1.1.1.5 on Vlan1301 from FULL to DOWN, Neighbor Down: Interface down or detached
Sep  6 00:04:02.400: %LINK-SW1-5-CHANGED: Interface Vlan1301, changed state to administratively down
Sep  6 00:04:02.404: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface Vlan1301, changed state to down
Sep  6 00:04:06.436: %SYS-SW1-5-CONFIG_I: Configured from console by vty0 (10.240.253.200)
Sep  6 00:05:50.679: %EC-SW1-5-UNBUNDLE: Interface TenGigabitEthernet1/1/2 left the port-channel Port-channel102
Sep  6 00:05:50.695: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet1/1/2, changed state to down
Sep  6 00:05:50.695: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet1/1/2, changed state to down
Sep  6 00:05:50.682: %EC-SW2_STBY-5-UNBUNDLE: Interface TenGigabitEthernet1/1/2 left the port-channel Port-channel102
Sep  6 00:06:04.839: %EC-SW1-5-UNBUNDLE: Interface TenGigabitEthernet2/1/2 left the port-channel Port-channel102
Sep  6 00:06:04.843: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet2/1/2, changed state to down
Sep  6 00:06:04.851: %LINK-SW1-3-UPDOWN: Interface Port-channel102, changed state to down
Sep  6 00:06:04.851: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet2/1/2, changed state to down
Sep  6 00:06:05.840: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface Port-channel102, changed state to down
Sep  6 00:06:04.842: %EC-SW2_STBY-5-UNBUNDLE: Interface TenGigabitEthernet2/1/2 left the port-channel Port-channel102
Sep  6 01:10:31.810: %OSPF-SW1-5-ADJCHG: Process 1, Nbr 1.1.1.4 on Vlan1300 from FULL to DOWN, Neighbor Down: Interface down or detached
Sep  6 01:10:31.822: %LINK-SW1-5-CHANGED: Interface Vlan1300, changed state to administratively down
Sep  6 01:10:31.826: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface Vlan1300, changed state to down
Sep  6 01:10:32.746: %OSPF-SW1-5-ADJCHG: Process 1, Nbr 1.1.1.2 on Vlan1320 from FULL to DOWN, Neighbor Down: Interface down or detached
Sep  6 01:10:32.758: %LINK-SW1-5-CHANGED: Interface Vlan1320, changed state to administratively down
Sep  6 01:10:32.762: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface Vlan1320, changed state to down
Sep  6 01:10:37.690: %SYS-SW1-5-CONFIG_I: Configured from console by vty0 (10.240.253.200)
Sep  6 01:10:52.775: %EC-SW1-5-UNBUNDLE: Interface TenGigabitEthernet1/1/5 left the port-channel Port-channel105
Sep  6 01:10:52.779: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet1/1/5, changed state to down
Sep  6 01:10:52.787: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet1/1/5, changed state to down
Sep  6 01:10:52.771: %EC-SW2_STBY-5-UNBUNDLE: Interface TenGigabitEthernet1/1/5 left the port-channel Port-channel105
Sep  6 01:11:26.777: %EC-SW1-5-UNBUNDLE: Interface TenGigabitEthernet2/1/5 left the port-channel Port-channel105
Sep  6 01:11:26.781: %SPANTREE-SW1-6-PORT_STATE: Port Po105 instance 254 moving from forwarding to disabled
Sep  6 01:11:26.781: %SPANTREE-SW1-6-PORT_STATE: Port Po105 instance 999 moving from forwarding to disabled
Sep  6 01:11:26.781: %SPANTREE-SW1-6-PORT_STATE: Port Po105 instance 1320 moving from forwarding to disabled
Sep  6 01:11:26.785: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet2/1/5, changed state to down
Sep  6 01:11:26.785: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface Port-channel105, changed state to down
Sep  6 01:11:26.793: %LINK-SW1-3-UPDOWN: Interface Port-channel105, changed state to down
Sep  6 01:11:27.157: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet2/1/5, changed state to down
Sep  6 01:11:26.807: %EC-SW2_STBY-5-UNBUNDLE: Interface TenGigabitEthernet2/1/5 left the port-channel Port-channel105
Sep  6 01:11:29.073: %EC-SW1-5-UNBUNDLE: Interface TenGigabitEthernet1/1/1 left the port-channel Port-channel101
Sep  6 01:11:29.077: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet1/1/1, changed state to down
Sep  6 01:11:29.085: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet1/1/1, changed state to down
Sep  6 01:11:29.067: %EC-SW2_STBY-5-UNBUNDLE: Interface TenGigabitEthernet1/1/1 left the port-channel Port-channel101
Sep  6 01:11:33.846: %EC-SW1-5-UNBUNDLE: Interface TenGigabitEthernet2/1/1 left the port-channel Port-channel101
Sep  6 01:11:33.854: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet2/1/1, changed state to down
Sep  6 01:11:33.858: %LINK-SW1-3-UPDOWN: Interface Port-channel101, changed state to down
Sep  6 01:11:33.858: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet2/1/1, changed state to down
Sep  6 01:11:33.839: %EC-SW2_STBY-5-UNBUNDLE: Interface TenGigabitEthernet2/1/1 left the port-channel Port-channel101
Sep  6 01:11:34.846: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface Port-channel101, changed state to down
Sep  6 01:29:18.694: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet1/1/6, changed state to down
Sep  6 01:29:26.427: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet2/1/6, changed state to down
Sep  6 02:00:51.120: %SYS-SW1-5-CONFIG_I: Configured from console by vty0 (10.240.253.200)
Sep  6 02:01:07.589: %LINK-SW1-5-CHANGED: Interface TenGigabitEthernet1/1/1, changed state to administratively down
Sep  6 02:03:46.999: %SYS-SW1-5-CONFIG_I: Configured from console by vty0 (10.240.253.200)
Sep  6 02:06:49.491: %LINK-SW1-5-CHANGED: Interface TenGigabitEthernet1/1/2, changed state to administratively down
